HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Thieves,45,12,25,42,41,2,16,40,27,,,,,,,250,9,,47,10,2,28,-21,2,65,47,2,69,46,2,41,30,1,27.78,45,2,0,0,0,0,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,3,0,3,0.00%,2,0,2,2,0,0,0,5,0,0,7,1,0,1,0,0,0,0,0,3
Tuscan,Legion,1,27,15,8,11,36,22,3,15,,,,,,,138,,,37,-10,2,49,21,2,18,-47,2,23,-46,2,11,-30,1,15.33,36,1,0,0,0,0,,,Ultra,40,75,-35,6,92,132,-40,5,101,70,31,5,59,99,-40,4,58,124,-66,4,350,500,-150,0,1,0,1,24,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrillas,32,48,-16,3,82,51,31,3,42,67,-25,3,61,28,33,2,29,56,-27,2,246,250,-4,0,0,0,0,13,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,10,6,4,60.00%,4,5,3,2,1,1,4,3,0,0,5,3,2,3,2,1,0,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,12,7,5,58.33%,6,3,3,6,3,1,1,27,1,2,28,6,4,2,36,0,4,2,2,23
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Surge,147,80,67,9,133,196,-63,8,96,149,-53,7,134,121,13,6,140,110,30,6,650,656,-6,0,1,0,2,36,,,,,,Tuscan,FaZe,1,A,D,X,,,O,X,,B,D,X,1,A,O,,1,A,D,,,A,O,X,,B,D,,1,B,O,X,,A,D,X,1,,O,,,A,D,X,5,,5,3,3,1,2,1,1,1,6,2,4,1,4,2,2,0,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Ultra,1,X,,5,O,6,1,,X,,D,11,1,X,,4,O,3,,,,,,,,,,,,,3,20,9,,2,2,2,2,0,0,9,0,2,9,1,1,11,0,1,0,1,5,,Guerrillas,5,3,2,60.00%,3,2,1,3,2,0,0,20,0,2,12,2,1,1,5,0,1,1,0,10
Bocage,FaZe,11,33,5,39,11,17,33,45,12,37,7,,,,,250,11,,35,5,3,66,48,2,50,9,2,51,17,2,48,21,2,22.73,45,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,3081,,,0,5,0,5,84,,,,,,Tuscan,Surge,,A,O,,1,,D,,1,B,O,,,A,D,X,,A,O,X,1,A,D,,1,B,O,X,,B,D,,1,A,O,,,,D,X,1,A,O,,6,,6,4,2,1,4,2,2,2,5,2,2,0,2,1,1,0,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Mutineers,,,,,D,0,,X,,5,O,0,,,,,D,0,,,,,,,,,,,,,0,0,5,,1,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,9,,Surge,8,5,3,62.50%,4,2,2,4,2,1,1,19,1,1,15,4,3,1,22,0,3,3,0,18
Bocage,Surge,3,9,36,4,17,15,9,5,30,10,12,,,,,150,,,30,-5,3,18,-48,2,41,-9,2,34,-17,2,27,-21,2,13.64,36,3,0,0,0,0,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavutu,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Desert Siege,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Tuscan,FaZe,36,7,34,38,27,19,11,19,0,5,0,,,,,196,11,,55,21,3,18,-69,2,53,34,2,38,-26,2,32,-14,2,17.82,38,0,0,2,1,0,,,OpTic,78,33,45,3,12,71,-59,2,43,56,-13,2,76,18,58,2,8,72,-64,2,217,250,-33,2,2,0,2,11,,,,,,Berlin,Ultra,,,D,,,,O,,,A,D,,1,A,O,,1,,D,X,,B,O,X,,A,D,X,,,O,,,,,,,,,,,,,,2,,4,1,1,0,1,1,1,0,4,1,2,1,2,0,0,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Rokkr,1,X,,5,O,3,1,,X,,D,5,1,X,X,6,O,22,,,,,D,3,,X,,3,O,4,3,37,14,,3,2,3,2,1,1,29,1,1,14,2,1,8,0,1,1,0,10,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Surge,4,47,6,7,13,28,40,13,57,33,2,,,,,250,,,34,-21,3,87,69,2,19,-34,2,64,26,2,46,14,2,22.73,57,2,1,0,0,2,,,Thieves,69,133,-64,5,127,59,68,4,110,75,35,4,39,153,-114,4,155,11,144,4,500,431,69,0,3,2,3,21,,,,,,Berlin,Mutineers,1,,O,X,1,,D,X,1,A,O,X,,A,D,X,,,O,,1,B,D,,1,A,O,,1,,D,X,,,,,,,,,,,,,6,,4,3,2,2,2,2,0,0,4,3,3,2,1,0,1,1,,,OpTic,10,4,6,40.00%,4,5,1,4,1,1,0,0,2,1,5,3,2,3,3,0,0,1,1,,,,,,Tuscan,Subliners,,,X,,D,6,,X,,4,O,8,,,,,D,11,1,X,X,6,O,11,1,,X,,D,8,2,44,10,,2,1,2,1,1,1,19,1,0,10,3,1,25,0,2,1,0,14,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,17,12,5,70.59%,10,9,5,4,4,4,0,0,3,2,8,7,1,6,6,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Mutineers,4,74,-70,2,31,51,-20,2,22,69,-47,2,69,29,40,2,57,27,30,2,183,250,-67,0,1,0,0,10,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Ultra,32,40,48,9,9,42,11,21,20,18,,,,,,250,10,,74,70,2,51,20,2,69,47,2,29,-40,2,27,-30,2,25.00,48,9,0,0,0,1,,,Subliners,41,71,-30,3,25,56,-31,2,96,0,96,2,8,91,-83,2,80,15,65,2,250,233,17,1,1,0,4,11,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Mutineers,0,1,3,40,35,4,30,19,29,22,,,,,,183,,,4,-70,2,31,-20,2,22,-47,2,69,40,2,57,30,2,18.30,40,0,0,1,0,0,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Rokkr,,B,D,,1,A,O,X,,A,D,,,,O,,,B,D,,1,A,O,,1,,D,X,,,O,,,,D,,,,,,,,,,3,,4,2,1,1,2,2,0,0,5,1,1,1,1,0,2,0,,,Subliners,9,6,3,66.67%,7,5,4,1,4,4,1,1,2,2,4,2,2,3,2,2,0,0,0,,,,,,Tuscan,Thieves,,X,,3,O,3,1,X,X,,D,13,,,,2,O,5,,,,,D,3,,,,,,,1,24,5,,2,0,1,0,0,0,8,0,0,5,2,1,16,1,1,1,0,7,,Subliners,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Desert Siege,Subliners,1,B,O,X,,A,D,,1,A,O,X,1,,D,X,1,B,O,X,,A,D,X,,,O,,1,,D,X,1,,O,X,,,,,,,,,6,,5,4,4,4,1,1,2,2,4,2,3,2,2,0,0,0,,,Rokkr,9,3,6,33.33%,2,4,2,2,1,1,2,2,0,0,5,1,4,1,1,1,0,2,0,,,,,,Tuscan,OpTic,1,,X,,D,8,,,,1,O,4,1,X,X,,D,16,1,X,X,6,O,7,,,,,,,3,35,7,,2,1,1,1,1,1,11,1,0,7,2,2,24,1,2,2,0,5,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Legion,55,36,19,2,47,56,-9,2,32,54,-22,2,77,21,56,2,3,83,-80,2,214,250,-36,0,1,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Ultra,14,9,27,45,2,26,23,55,27,10,12,,,,,250,11,,52,7,3,32,-2,2,82,60,2,72,49,2,12,-14,2,22.73,55,2,1,0,0,3,,,Ultra,74,4,70,2,51,31,20,2,69,22,47,2,29,69,-40,2,27,57,-30,2,250,183,67,0,0,0,1,10,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,7,1,6,14.29%,3,3,0,3,1,0,0,0,0,0,4,1,3,2,1,0,0,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Mutineers,33,19,22,0,13,12,15,0,23,13,0,,,,,150,,,45,-7,3,34,2,2,22,-60,2,23,-49,2,26,14,2,13.64,33,0,0,3,1,0,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surge,71,41,30,3,56,25,31,2,0,96,-96,2,91,8,83,2,15,80,-65,2,233,250,-17,0,4,1,1,11,,,,,,Desert Siege,OpTic,,,D,,,B,O,,,,D,,,,O,,1,B,D,X,,,O,,1,,D,X,1,B,O,X,1,,D,X,,,O,,,,,,4,,5,1,1,1,0,0,2,1,5,3,3,3,0,0,1,1,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Subliners,,,,1,O,8,,,,,D,0,,,,,O,8,,,,,,,,,,,,,0,16,1,,2,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,0,5,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,,,,,,,,,,,,,,,,,,,Total Pts,,1847,,,3,12,3,12,42,,,,,,Desert Siege,Thieves,1,,O,X,1,B,D,X,1,,O,X,1,,D,X,,B,O,,1,,D,X,,,O,,,B,D,,,,O,,1,,D,X,,,,,6,,5,2,2,2,0,0,1,0,5,4,4,4,0,0,2,1,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Surge,1,X,X,,D,19,1,X,,5,O,2,1,X,X,,D,22,,,,,,,,,,,,,3,43,5,,1,1,1,1,0,0,2,0,1,5,2,2,41,2,2,2,0,1,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Rokkr,15,10,23,41,0,13,21,25,16,20,16,16,26,,,242,13,,44,17,3,47,-29,3,74,17,3,57,30,2,20,-43,2,18.62,41,0,0,1,0,1,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,
Bocage,Subliners,7,36,20,0,44,9,14,22,27,19,11,26,15,,,250,,,27,-17,3,76,29,3,57,-17,3,27,-30,2,63,43,2,19.23,44,0,0,1,0,1,,,Tuscan,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Tuscan,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,45,16,29,36,16,6,6,296,6,10,163,45,28,17,316,7,27,24,4,163
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,OpTic,55,66,-11,3,47,44,3,2,42,44,-2,2,38,56,-18,2,56,40,16,2,238,250,-12,0,1,0,0,11,,,,,,Berlin ,Subliners,,A,D,X,,,O,,,B,D,,1,B,O,X,,A,D,X,,A,O,X,1,B,D,X,1,,O,,,B,D,,,,,,,,,,3,,4,2,2,1,1,0,1,1,5,1,3,1,2,0,3,1,,,Breach,11,6,5,54.55%,4,6,4,2,2,2,2,2,0,0,5,2,3,2,1,2,0,1,0,,,,,,Tuscan,Thieves,,X,,3,O,4,1,,X,,D,5,1,X,,3,O,16,1,,X,,D,5,,,,,,,3,30,6,,2,1,2,1,0,0,20,0,1,6,2,2,10,0,2,0,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,OpTic,22,3,20,21,8,56,9,23,55,0,0,,,,,217,11,,78,45,3,12,-59,2,43,-13,2,76,58,2,8,-64,2,19.73,56,0,2,2,0,2,,,Thieves,143,168,-25,8,125,119,6,6,196,86,110,6,131,156,-25,6,153,97,56,5,748,626,122,2,1,1,2,31,,,,,,Berlin ,Surge,1,A,O,,1,,D,X,1,B,O,X,,B,D,,1,A,O,,1,A,D,,,B,O,,,,D,X,1,B,O,X,,,,,,,,,6,,5,4,2,2,2,2,3,2,4,2,2,1,1,1,1,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Ultra,1,,X,,D,7,,X,,4,O,0,,,,,D,0,,X,,4,O,0,,,,,,,1,7,8,,2,0,2,0,0,0,0,0,0,8,2,1,7,0,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Gavutu,Thieves,22,47,22,18,33,0,24,34,0,39,11,,,,,250,,,33,-45,3,71,59,2,56,13,2,18,-58,2,72,64,2,22.73,47,0,0,2,2,2,,,FaZe,55,34,21,3,18,87,-69,2,53,19,34,2,38,64,-26,2,32,46,-14,2,196,250,-54,0,2,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,11,5,6,45.45%,7,5,3,2,3,1,2,1,1,1,6,2,4,4,1,4,2,2,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
