HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Mutineers,25,0,20,4,38,14,3,17,28,10,,,,,,159,10,,39,-7,2,3,-94,2,37,-32,2,32,6,2,48,36,2,15.90,38,0,0,1,1,0,,,Legion,38,25,13,3,33,76,-43,3,71,42,29,3,36,43,-7,2,19,53,-34,2,197,239,-42,0,0,0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,11,6,5,54.55%,6,5,2,3,3,1,1,0,1,1,6,4,2,3,3,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,10,4,6,40.00%,4,0,4,4,0,0,0,26,0,0,14,6,4,2,45,0,4,4,0,24
Berlin,Royal Ravens,13,52,38,14,2,33,45,31,12,10,,,,,,250,,,46,7,2,97,94,2,69,32,2,26,-6,2,12,-36,2,25.00,52,2,1,0,0,1,,,Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,4,3,1,75.00%,2,1,1,2,1,1,1,24,1,0,9,2,2,0,24,1,1,1,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrillas,89,54,35,6,93,112,-19,6,80,96,-16,4,101,70,31,4,72,75,-3,4,435,407,28,0,1,0,0,24,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Surge,60,69,-9,5,156,79,77,5,36,154,-118,5,54,121,-67,4,97,77,20,4,403,500,-97,2,2,1,2,23,,,,,,Desert Siege,Subliners,1,,D,X,,,O,X,1,,D,X,1,B,O,X,1,B,D,,1,B,O,X,1,A,D,X,,,,,,,,,,,,,,,,,6,,3,2,3,2,0,0,2,2,4,4,3,3,1,1,1,1,,,Guerrillas,9,6,3,66.67%,7,5,4,1,4,4,2,2,0,0,4,2,2,3,2,0,0,0,0,,,,,,Tuscan,Surge,,X,,3,O,2,1,,X,,D,7,,X,,3,O,0,1,,X,,D,8,1,X,X,6,O,11,3,28,12,,3,1,3,1,1,1,13,1,0,12,2,2,15,0,2,1,1,6,,Guerrillas,8,4,4,50.00%,4,1,3,4,1,1,1,24,1,0,19,4,3,1,31,0,3,3,0,14
Bocage,OpTic,10,26,29,29,23,0,36,8,14,30,15,14,5,,,239,13,,25,-13,3,76,43,3,42,-29,3,43,7,2,53,34,2,18.38,36,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,Total Pts,,2602,,,3,6,3,6,72,,,,,,Desert Siege,Surge,,,O,,1,,D,,,,O,,,B,D,,,B,O,X,,B,D,,,A,O,,,,,,,,,,,,,,,,,,1,,4,0,1,0,1,0,1,0,3,1,0,0,0,0,2,0,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Subliners,1,,X,,D,11,,X,,3,O,0,1,,X,,D,13,,X,,3,O,4,,,,,D,12,2,40,6,,2,0,2,0,0,0,4,0,0,6,3,2,36,0,2,1,1,12,,Surge,8,3,5,37.50%,5,1,4,5,1,1,1,14,1,0,19,3,2,1,15,0,2,1,1,10
Bocage,Legion,3,15,14,22,12,15,5,44,14,7,20,13,13,,,197,,Ended on Time,38,13,3,33,-43,3,71,29,3,36,-7,2,19,-34,2,15.15,44,3,0,0,0,1,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavutu,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Desert Siege,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Berlin,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Berlin,OpTic,46,5,36,7,11,20,29,45,0,27,24,,,,,250,11,,90,64,3,34,-21,2,81,66,2,7,-65,2,38,16,2,22.73,46,0,0,1,0,1,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,FaZe,,A,D,,1,A,O,,1,B,D,X,1,A,O,X,1,B,D,X,,,O,,,B,D,,1,B,O,,,A,D,,1,,O,,,,,,6,,5,4,1,1,2,2,1,1,5,2,2,2,2,0,3,2,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Guerrillas,,X,,3,O,3,1,,X,,D,17,1,X,X,6,O,16,1,,X,,D,6,,,,,,,3,42,9,,2,1,2,1,1,1,19,1,0,9,2,2,23,0,2,2,0,7,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Legion,0,37,5,27,19,22,18,10,45,3,4,,,,,190,,,26,-64,3,55,21,2,15,-66,2,72,65,2,22,-16,2,17.27,45,0,0,1,0,1,,,Thieves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Guerrillas,1,A,O,X,,A,D,X,,B,O,,,A,D,,,B,O,,1,,D,X,1,B,O,X,,B,D,X,1,A,O,X,,,D,X,,,,,4,,5,3,3,3,2,2,3,1,5,1,4,1,2,0,1,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,FaZe,1,,X,,D,16,,X,,3,O,6,,,,,D,7,,X,,4,O,3,,,,,,,1,32,7,,2,0,2,0,0,0,9,0,0,7,2,1,23,0,1,1,0,9,,OpTic,3,0,3,0.00%,2,0,2,0,0,2,0,1,0,0,8,1,0,1,13,0,0,0,0,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaZe,58,31,27,2,59,35,24,2,34,48,-14,2,53,22,31,2,46,0,46,1,250,136,114,0,0,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Subliners,21,0,39,28,4,26,34,54,20,24,,,,,,250,10,,47,38,2,34,-33,2,93,88,2,48,9,2,28,-53,2,25.00,54,0,1,1,1,1,,,Subliners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,Surge,9,52,4,18,48,0,15,1,21,33,,,,,,201,,,9,-38,2,67,33,2,5,-88,2,39,-9,2,81,53,2,20.10,52,0,1,1,1,1,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Breach,,A,D,,,,O,,,,D,,1,,O,,1,,D,X,,,O,,,A,D,,1,,O,X,,,D,,,,,,,,,,3,,4,2,1,1,0,0,0,0,5,1,1,1,2,0,0,0,,,Subliners,7,6,1,85.71%,6,3,2,1,3,2,0,0,2,2,4,4,0,3,3,1,1,1,1,,,,,,Tuscan,Guerrillas,,X,,5,O,0,1,,X,,D,8,,X,,5,O,5,,,,,D,0,,,,,,,1,13,10,,2,0,2,0,0,0,5,0,0,10,2,1,8,0,1,1,0,7,,Subliners,3,3,0,100.00%,1,1,0,1,1,1,1,21,1,0,6,2,2,0,8,2,0,1,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Guerrillas,1,A,O,X,1,,D,X,1,,O,X,,,D,X,,,O,,1,,D,X,1,A,O,X,,,D,,1,,O,X,,,,,,,,,6,,5,4,4,4,2,2,0,0,4,2,3,2,0,0,0,0,,,Rokkr,11,5,6,45.45%,3,6,1,5,0,0,3,0,1,0,5,4,1,3,3,0,0,0,0,,,,,,Tuscan,Breach,1,,X,,D,1,,X,,3,O,7,1,,X,,D,10,1,X,,4,O,14,,,,,,,3,32,7,,2,1,2,1,0,0,21,0,1,7,2,2,11,0,2,1,1,10,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,11,6,5,54.55%,8,5,1,4,2,1,0,0,0,0,6,5,1,6,5,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Subliners,43,13,34,13,25,44,5,0,42,16,15,,,,,250,11,,102,72,3,18,-50,2,34,-35,2,55,23,2,41,4,2,22.73,44,0,0,1,1,1,,,Ultra,31,58,-27,2,35,59,-24,2,48,34,14,2,22,53,-31,2,0,46,-46,1,136,250,-114,0,2,0,0,9,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Surge,0,36,19,31,13,12,32,50,1,24,18,,,,,236,,,30,-72,3,68,50,2,69,35,2,32,-23,2,37,-4,2,21.45,50,0,1,1,0,1,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Thieves,,B,D,X,1,,O,X,,A,D,X,1,A,O,,1,B,D,,1,A,O,X,1,,D,X,,,O,X,1,,D,X,,,,,,,,,6,,4,3,3,2,2,2,0,0,5,3,4,2,1,0,2,1,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Legion,,X,,3,O,2,,,,,D,0,,,,1,O,7,,,,,,,,,,,,,0,9,4,,2,0,1,0,0,0,9,0,0,4,1,0,0,0,0,0,0,3,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,,,,,,,,,,,,,,,,,,,Total Pts,,386,,,0,2,0,2,9,,,,,,Tuscan,Legion,1,B,O,,,,D,,1,A,O,,,A,D,X,,B,O,X,,A,D,,,,O,,1,,D,,,,O,,,,,,,,,,3,,5,2,1,0,1,1,2,1,4,1,1,0,2,0,0,0,,,Surge,7,1,6,14.29%,1,4,0,4,1,0,1,0,1,0,3,1,2,0,0,0,0,2,0,,,,,,Gavutu,Thieves,1,,X,,D,7,1,X,,3,O,10,1,X,X,,D,15,,,,,,,,,,,,,3,32,3,,1,1,1,1,0,0,10,0,1,3,2,2,22,1,2,2,0,4,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bocage,FaZe,5,7,42,26,19,24,20,12,5,25,9,12,,,,206,12,,38,-12,3,39,-38,3,54,19,2,31,-19,2,44,6,2,17.17,42,5,0,0,0,0,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,
Bocage,Guerrillas,14,38,8,6,30,11,14,27,44,8,25,25,,,,250,,,50,12,3,77,38,3,35,-19,2,50,19,2,38,-6,2,20.83,44,6,0,0,0,0,,,Tuscan,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Tuscan,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Subliners,1,,D,X,,A,O,,,,D,,,,O,X,,A,D,X,,B,O,,1,,D,,,,O,,,,,,,,,,,,,,2,,4,0,1,0,1,0,1,0,4,2,2,1,1,0,0,0,,,Breach,9,3,6,33.33%,4,4,2,2,3,2,2,1,0,0,5,1,4,1,1,2,0,0,0,,,,,,Berlin,OpTic,,,X,4,O,0,,,,,D,13,,,X,4,O,1,,,,,,,,,,,,,0,14,8,,2,0,0,0,2,0,1,0,0,8,1,0,13,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,FaZe,16,20,21,13,2,8,44,14,21,43,34,5,,,,241,12,,58,-18,3,69,22,3,35,-21,2,34,-14,2,45,22,2,20.08,44,2,0,0,0,0,,,Thieves,56,45,11,2,35,54,-19,2,77,18,59,2,45,51,-6,2,37,58,-21,2,250,226,24,0,0,0,0,10,,,,,,Bocage,OpTic,,,O,,1,A,D,X,1,,O,X,1,,D,,1,A,O,,1,B,D,X,,,O,X,1,,D,X,,,,,,,,,,,,,6,,4,2,2,1,1,1,0,0,4,4,3,3,1,1,1,1,,,OpTic,8,6,2,75.00%,6,4,4,0,3,3,1,1,0,0,4,2,2,3,2,1,0,0,0,,,,,,Berlin,Subliners,1,X,,,D,5,1,X,X,6,O,21,1,X,,,D,3,,,,,,,,,,,,,3,29,6,,1,1,1,1,1,1,21,1,0,6,2,2,8,2,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,Guerrillas,16,17,22,23,19,41,3,34,25,4,19,27,,,,250,,,76,18,3,47,-22,3,56,21,2,48,14,2,23,-22,2,20.83,41,3,0,0,0,0,,,FaZe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,9,6,3,66.67%,7,4,3,1,3,2,2,2,0,0,5,3,2,4,2,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mutineers,12,74,-62,2,34,45,-11,2,32,51,-19,2,3,49,-46,1,23,31,-8,1,104,250,-146,0,1,0,0,8,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,8,6,2,75.00%,5,4,3,1,2,2,2,2,1,1,4,3,1,3,3,1,0,2,2,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
