HARDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SnD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Map,Team,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Offense,,,,,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscan,Subliners,1,28,6,29,27,20,6,9,19,56,45,0,,,,246,12,,66,13,3,34,-15,3,15,-56,2,48,-8,2,83,62,2,20.50,56,1,1,1,0,1,,,Berlin,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Ultra,,,O,X,1,,D,X,1,B,O,X,1,,D,X,,A,O,,,B,D,,1,A,O,,1,A,D,X,1,A,O,X,,,,,,,,,6,,5,3,3,2,3,2,1,1,4,3,3,3,1,1,1,0,,,Rokkr,19,8,11,42.11%,9,10,3,7,4,3,1,1,1,1,9,5,4,5,2,2,0,4,2,,,,,,Berlin,Guerrillas,1,X,,,D,4,,,X,3,O,3,1,X,,,D,8,1,,X,5,O,8,,,,,,,3,23,8,,2,1,0,0,2,1,11,0,1,8,2,2,12,2,0,1,1,10,,Rokkr,8,2,6,25.00%,4,0,4,4,0,0,0,15,0,0,15,4,2,2,20,0,2,2,0,16
Tuscan,Ultra,17,34,16,23,16,17,2,16,52,0,,,,,,193,10,,34,-20,2,36,-27,2,32,-9,2,75,47,2,16,-48,2,19.30,52,0,1,1,0,1,,,Legion,31,29,2,3,43,40,3,2,36,57,-21,2,17,83,-66,2,25,41,-16,2,152,250,-98,0,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Royal Ravens,18,16,24,28,25,36,47,17,0,39,,,,,,250,,,54,20,2,63,27,2,41,9,2,28,-47,2,64,48,2,25.00,47,0,0,1,1,1,,,Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guerrillas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Surge,29,31,-2,3,40,43,-3,2,57,36,21,2,83,17,66,2,41,25,16,2,250,152,98,1,0,0,1,11,,,,,,Desert Siege,Ultra,,B,D,X,1,A,O,X,1,,D,X,,,O,,1,B,D,,,A,O,X,1,,D,X,,,O,,,A,D,,1,A,O,X,,A,D,X,5,,5,2,3,2,3,2,0,0,6,3,4,2,2,0,2,1,,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,OpTic,1,X,,4,O,7,1,,X,,D,6,1,X,,5,O,2,,,,,,,,,,,,,3,15,9,,2,2,2,2,0,0,9,0,2,9,1,1,6,0,1,1,0,3,,Guerrillas,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Ultra,46,0,16,40,11,25,26,0,8,13,0,,,,,185,11,,71,46,3,26,-45,2,16,-70,2,48,20,2,24,-16,2,16.82,46,0,0,3,2,2,,,,,,,,,,,,,,,,,,,,,,Total Pts,,1248,,,2,3,2,3,36,,,,,,Desert Siege,Royal Ravens,1,B,O,,,A,D,,,,O,,1,,D,X,,B,O,X,1,A,D,,,,O,,1,,D,X,1,A,O,X,,A,D,,1,A,O,,6,,6,3,2,1,2,2,2,1,5,3,2,2,3,1,0,0,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Rokkr,,,,,D,0,,X,,3,O,5,,,,,D,0,,,,,,,,,,,,,0,5,3,,1,0,1,0,0,0,5,0,0,3,2,0,0,0,0,0,0,9,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,Royal Ravens,0,51,31,0,17,23,20,55,28,23,2,,,,,250,,,25,-46,3,71,45,2,86,70,2,28,-20,2,40,16,2,22.73,55,0,2,2,0,3,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gavutu,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,Totals,,,,Offense,,,,,,,,,,,Defense,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Breach,109,94,15,5,39,140,-101,4,83,103,-20,4,125,62,63,4,59,101,-42,4,415,500,-85,2,3,2,2,21,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Desert Siege,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Berlin,Rounds,W,L,W%,Rounds,W,L,A Caps,A Caps W,B Caps,B Caps W,Lives Left,Cap Wins,Wipe Wins,Ticks,Rounds,W,L,Lives Left,A Def,B Def,Def Wins,Wipe Wins,Ticks Allow
Gavutu,Guerrillas,8,26,0,1,45,0,24,0,,,,,,,,104,8,,8,-71,2,50,13,2,0,-91,2,1,-42,1,45,45,1,13.00,45,0,0,3,0,1,,,OpTic,35,69,-34,3,74,9,65,2,68,22,46,2,4,98,-94,2,69,22,47,2,250,220,30,1,1,1,1,11,,,,,,Desert Siege,Guerrillas,1,,D,X,,,O,,,A,D,,,,O,,1,,D,X,,,O,,1,,D,,,,O,X,1,A,D,X,1,B,O,X,,B,D,,5,,5,1,2,1,0,0,1,1,6,4,3,3,2,1,1,0,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Thieves,1,X,X,6,O,10,1,,X,,D,8,,X,,5,O,2,1,X,X,,D,13,,,,,,,3,33,11,,2,1,2,1,1,1,12,1,0,11,2,2,21,1,2,2,0,4,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavutu,Subliners,32,13,46,43,0,47,24,45,,,,,,,,250,,,79,71,2,37,-13,2,91,91,2,43,42,1,0,-45,1,31.25,47,0,0,1,0,3,,,Thieves,131,52,79,4,150,40,110,4,80,99,-19,4,88,78,10,4,51,54,-3,3,500,323,177,1,1,2,3,19,,,,,,Desert Siege,Subliners,,,O,,1,,D,X,1,A,O,X,1,,D,X,,,O,,1,,D,X,,,O,X,1,,D,,,A,O,,,B,D,,1,B,O,X,6,,6,2,3,2,2,1,1,1,5,4,3,3,0,0,1,0,,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Gavutu,Breach,,,,,D,2,,X,,3,O,2,1,,X,,D,2,,,,1,O,7,,,,,,,1,13,4,,2,0,1,0,0,0,9,0,0,4,2,1,4,0,1,1,0,11,,OpTic,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaZe,12,72,-60,2,10,84,-74,2,38,45,-7,2,51,30,21,2,17,19,-2,1,128,250,-122,1,1,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thieves,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Mutineers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,FaZe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Guerrillas,6,30,24,14,5,12,5,31,0,,,,,,,127,9,,18,-44,2,35,-21,2,55,18,2,14,-36,2,5,-40,1,14.11,31,0,0,1,0,0,,,Subliners,79,8,71,2,37,50,-13,2,91,0,91,2,43,1,42,1,0,45,-45,1,250,104,146,0,1,0,3,8,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Mutineers,9,3,6,33.33%,2,5,1,4,1,0,1,0,1,1,4,2,2,1,1,2,1,1,0,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Mutineers,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscan,Subliners,33,17,20,40,45,29,39,17,10,,,,,,,250,,,62,44,2,56,21,2,37,-18,2,50,36,2,45,40,1,27.78,45,10,0,0,0,1,,,Rokkr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,Rokkr,1,B,D,X,1,B,O,X,,B,D,X,,,O,,1,B,D,,,,O,,,A,D,X,,,O,,1,,D,,1,,O,X,1,A,O,X,6,,6,3,3,3,1,1,1,1,5,3,3,1,1,0,3,2,,,Subliners,20,12,8,60.00%,13,10,4,6,6,4,4,2,2,2,10,8,2,7,6,1,1,2,0,,,,,,Berlin,Surge,1,X,X,6,O,13,1,X,X,,D,20,,,X,4,O,0,1,X,,,D,8,,,,,,,3,41,10,,2,1,1,1,2,1,13,1,0,10,2,2,28,2,1,2,0,6,,Subliners,4,1,3,25.00%,2,0,2,0,0,2,0,5,0,0,10,2,1,1,12,1,0,1,0,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Bocage,OpTic,,B,O,,,B,D,,1,B,O,,1,,D,X,,B,O,X,1,,D,X,1,A,O,,1,,D,X,,,O,X,,,D,,,A,D,,5,,5,2,2,0,1,1,3,1,6,3,3,3,1,0,1,0,,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Legion,,,,,D,2,,,,2,O,9,1,X,,,D,9,,,X,4,O,1,,,,,,,1,21,6,,2,0,0,0,1,0,10,0,0,6,2,1,11,1,0,0,1,10,,Rokkr,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,Legion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,11,6,5,54.55%,4,6,3,3,2,1,2,2,2,1,5,3,2,2,2,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Ravens,4,1,3,25.00%,2,1,1,1,1,2,1,16,1,0,9,2,0,2,3,0,0,0,0,11
Bocage,Rokkr,6,23,22,17,18,16,22,28,3,16,21,16,,,,208,12,Ended On Time,43,24,3,61,3,3,50,24,2,20,-42,2,34,4,2,17.33,28,3,0,0,0,0,,,Ultra,63,45,18,2,23,54,-31,2,77,15,62,2,1,95,-94,2,10,41,-31,1,174,250,-76,1,1,1,1,9,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,Legion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,Legion,4,1,3,25.00%,2,0,2,0,0,1,0,10,0,0,6,2,1,1,11,1,0,0,1,10
Bocage,OpTic,11,19,15,24,8,3,23,11,38,22,5,16,,,,195,,,19,-24,3,58,-3,3,26,-24,2,62,42,2,30,-4,2,16.25,38,3,0,0,0,0,,,Guerrillas,53,142,-89,4,104,60,44,4,15,168,-153,4,96,44,52,3,86,10,76,2,354,424,-70,1,4,1,2,17,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Ultra,21,9,12,42.86%,12,10,3,7,5,2,4,3,0,0,11,6,5,7,5,3,0,3,2,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,Ultra,8,6,2,75.00%,4,3,1,1,1,4,3,21,1,2,19,4,3,1,26,3,0,3,0,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Breach,,,D,,,,O,X,,B,D,,,B,O,,,B,D,,1,A,O,,1,,D,X,,B,O,X,,,,,,,,,,,,,2,,4,1,2,0,1,1,2,0,4,1,1,1,0,0,2,0,,,Guerrillas,21,11,10,52.38%,10,10,3,7,4,3,1,1,2,1,11,8,3,6,5,3,1,1,0,,,,,,Tuscan,Mutineers,,X,,3,O,6,1,,X,,D,11,,X,,4,O,5,1,,X,,D,8,1,,X,,D,3,3,33,7,,2,0,2,0,0,0,11,0,0,7,3,3,22,0,3,3,0,12,,Guerrillas,8,4,4,50.00%,4,1,3,0,0,4,1,18,0,1,14,4,3,1,24,3,0,2,1,18
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,,,,,,,,,,,,,,,,,,,,Total Pts,,2071,,,7,12,7,12,47,,,,,,Berlin,Thieves,1,,O,X,1,,D,,1,B,O,X,1,B,D,X,1,B,O,X,,A,D,X,,,O,,1,B,D,,,,,,,,,,,,,,6,,4,3,3,3,0,0,2,2,4,3,2,1,1,0,2,2,,,Surge,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Rokkr,1,,X,,D,15,,X,,3,O,4,1,,X,,D,5,,X,,4,O,3,,X,,5,O,3,2,30,12,,3,0,3,0,0,0,10,0,0,12,2,2,20,0,2,2,0,7,,Surge,4,3,1,75.00%,2,1,1,1,1,2,1,13,1,0,10,2,2,0,28,2,1,2,0,6
Berlin,Rokkr,42,15,24,0,21,30,2,33,40,16,13,14,,,,250,12,,85,24,3,31,-44,3,57,15,2,40,4,2,37,15,2,20.83,42,0,0,1,0,2,,,,P1,,,,P2,,,,P3,,,,P4,,,,P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,
Berlin,OpTic,0,25,23,36,6,26,39,19,0,16,35,11,,,,236,,,61,-24,3,75,44,3,42,-15,2,36,-4,2,22,-15,2,19.67,39,0,0,2,0,1,,,Tuscan,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,H,PF,PA,PM,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,Total Hills,,,,,,,,1,,,,2,,,,3,,,,4,,,,5,,,,6,,,,7,,,,8,,,,9,,,,10,,,,11,,,,,,OFFENSE,,,,,,,,DEFENSE,,,,,,,,,,,TOTAL,,,,,OFFENSE,,,,,,,,,DEFENSE,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,4,,,,,,5,,,,,,,,,,Offense,,,,,,,,,,Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Site,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,W/L,P,Side,FB,Score,,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,Rounds,Wins,FB,FBW,AP,APW,BP,BPW,,,Tuscan,Rds,W,L,W%,FB,Rds,W,L,FB,FBW,AP,APW,BP,BPW,Rds,W,L,FB,FBW,AP,APW,BP,BPW,,,,,,,,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,W/L,A,B,Ticks,Side,Lives ,Score,Lives,Ticks,,Rounds,W,A Caps, A Cap W,B Caps,B Cap W,Lives Left,Cap W's,Wipe W's,Ticks,Rounds,W,Lives Left,A Def,B Def,Defend W's,Wipe W's,Ticks Allow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,P1,P2,P3,P4,P5,Total,Hills,,P1,PM,H,P2,PM,H,P3,PM,H,P4,PM,H,P5,PM,H,PPH,High,Low,50 Pt Hills,0 pt Hills,50 PHA,Shutouts,,,OpTic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Berlin,Legion,1,B,D,X,1,,O,X,1,A,D,X,,A,O,,,A,D,,,,O,,,A,D,X,,,O,X,1,,D,X,,,O,,,,,,4,,5,1,2,1,1,0,0,0,5,3,4,3,3,1,1,1,,,Breach,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Tuscan,Thieves,,X,,5,O,4,1,,X,,D,11,,X,,5,O,6,1,,X,,D,1,1,,X,,D,2,3,24,10,,2,0,2,0,0,0,10,0,0,10,3,3,14,0,3,3,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
